Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value,Sources
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/24/15,9/24/15,0.243600577,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/25/15,9/25/15,0.263324435,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/26/15,9/26/15,0.263322172,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/27/15,9/27/15,0.244687182,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/28/15,9/28/15,0.252815655,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/29/15,9/29/15,0.230327068,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/30/15,9/30/15,0.233018815,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/1/15,10/1/15,0.232790108,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/2/15,10/2/15,0.237298736,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/3/15,10/3/15,0.2592021,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/4/15,10/4/15,0.24776603,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/5/15,10/5/15,0.25576744,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/6/15,10/6/15,0.256926093,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/7/15,10/7/15,0.225263167,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/8/15,10/8/15,0.233003991,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/9/15,10/9/15,0.231715539,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/10/15,10/10/15,0.244501825,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/11/15,10/11/15,0.246443588,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/12/15,10/12/15,0.213484583,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/13/15,10/13/15,0.208130868,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/14/15,10/14/15,0.208054572,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/15/15,10/15/15,0.21561955,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/16/15,10/16/15,0.220756924,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/17/15,10/17/15,0.183893234,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/18/15,10/18/15,0.17449386,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/19/15,10/19/15,0.175284981,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/20/15,10/20/15,0.180150856,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/21/15,10/21/15,0.187236299,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/22/15,10/22/15,0.174813751,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/23/15,10/23/15,0.1747799,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/24/15,10/24/15,0.174130943,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/25/15,10/25/15,0.144259457,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/26/15,10/26/15,0.159897787,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/27/15,10/27/15,0.158572243,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/28/15,10/28/15,0.183520627,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/29/15,10/29/15,0.185393742,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/30/15,10/30/15,0.158742313,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,10/31/15,10/31/15,0.167928555,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,11/1/15,11/1/15,0.167688143,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,11/2/15,11/2/15,0.179518708,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,11/3/15,11/3/15,0.176368157,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,11/4/15,11/4/15,0.146526615,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,11/5/15,11/5/15,0.150125603,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,11/6/15,11/6/15,0.149524367,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,11/7/15,11/7/15,0.143766712,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,11/8/15,11/8/15,0.151646881,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,11/9/15,11/9/15,0.138167916,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,11/10/15,11/10/15,0.147770142,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,11/11/15,11/11/15,0.147401046,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,11/12/15,11/12/15,0.116751737,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,11/13/15,11/13/15,0.12044878,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,11/14/15,11/14/15,0.118445575,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,11/15/15,11/15/15,0.131208643,"SMOS,Gro Intelligence"
